,Number of Substitutions,Maintained,Maintained,Rheostat->adverse,Rheostat->adverse,Rheostat->moderate,Rheostat->moderate,Toggle->adverse,Toggle->adverse,Rheostat->toggle,Rheostat->toggle,Rheostat->neutral,Rheostat->neutral,Neutral->moderate,Neutral->moderate,Moderate->neutral,Moderate->neutral,Moderate->adverse,Moderate->adverse,Rep,Rep,Adverse->moderate,Adverse->moderate,Adverse->toggle,Adverse->toggle,Neutral->rheostat,Neutral->rheostat,Toggle->moderate,Toggle->moderate,Neutral->adverse,Neutral->adverse,Toggle->neutral,Toggle->neutral,Adverse->WT/inactive,Adverse->WT/inactive,Toggle->WT/inactive,Toggle->WT/inactive,Rheostat->WT/inactive,Rheostat->WT/inactive,Toggle->rheostat,Toggle->rheostat
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0,5,0.725,0.0299072640748773,0.079,0.01852925614624973,0.033,0.01636391694484477,0.063,0.02110818693198342,0.013000000000000001,0.008232726023485645,0.013000000000000001,0.013374935098492587,0.032,0.015491933384829668,0.011,0.007378647873726219,0.002,0.0042163702135578395,4.5,3.0276503540974917,0.004,0.009660917830792959,0.01,0.00816496580927726,0.001,0.0031622776601683794,0.002,0.0042163702135578395,0.001,0.0031622776601683794,0.001,0.0031622776601683794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.762,0.022997584414213814,0.051000000000000004,0.013703203194062976,0.036,0.0107496769977314,0.02,0.011547005383792514,0.036,0.015055453054181623,0.003,0.00483045891539648,0.034999999999999996,0.0190029237516523,0.006,0.00699205898780101,0.005,0.0052704627669473,4.5,3.0276503540974917,0.003,0.004830458915396479,0.022,0.007888106377466154,0.004,0.0051639777949432225,0.002,0.0042163702135578395,0.0,0.0,0.0,0.0,0.002,0.0042163702135578395,0.001,0.0031622776601683794,0.002,0.004216370213557839,0.0,0.0
2,7,0.776,0.023664319132398467,0.074,0.013498971154211057,0.018,0.011352924243950934,0.034999999999999996,0.015811388300841896,0.017,0.0105934990547138,0.012,0.011352924243950933,0.004,0.0051639777949432225,0.011,0.005676462121975467,0.005,0.007071067811865475,4.5,3.0276503540974917,0.003,0.00483045891539648,0.014000000000000002,0.00966091783079296,0.003,0.006749485577105529,0.0,0.0,0.001,0.00316227766016838,0.0,0.0,0.006,0.0051639777949432225,0.005,0.0052704627669473,0.006,0.00699205898780101,0.0,0.0
3,8,0.799,0.02766867462592948,0.08399999999999999,0.019550504398153576,0.012,0.014757295747452439,0.044,0.020655911179772894,0.009,0.007378647873726219,0.006,0.006992058987801011,0.005,0.0052704627669473,0.005,0.005270462766947299,0.004,0.0051639777949432225,4.5,3.0276503540974917,0.001,0.00316227766016838,0.01,0.00816496580927726,0.005,0.0052704627669473,0.002,0.0042163702135578395,0.0,0.0,0.0,0.0,0.001,0.00316227766016838,0.0,0.0,0.001,0.00316227766016838,0.002,0.00632455532033676
4,9,0.829,0.02884826203122506,0.052000000000000005,0.018737959096740264,0.007000000000000001,0.0067494855771055295,0.016,0.014298407059684812,0.023,0.012516655570345725,0.005,0.007071067811865475,0.020999999999999998,0.011972189997378646,0.007000000000000001,0.006749485577105529,0.003,0.00483045891539648,4.5,3.0276503540974917,0.003,0.00483045891539648,0.016999999999999998,0.0067494855771055295,0.002,0.0042163702135578395,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004216370213557839,0.001,0.00316227766016838,0.002,0.0042163702135578395,0.001,0.00316227766016838
5,10,0.85,0.016996731711975972,0.066,0.013498971154211059,0.008,0.007888106377466154,0.025,0.011785113019775792,0.009,0.01100504934614612,0.005,0.007071067811865475,0.003,0.00483045891539648,0.007000000000000001,0.006749485577105528,0.001,0.00316227766016838,4.5,3.0276503540974917,0.0,0.0,0.013000000000000001,0.008232726023485645,0.003,0.00483045891539648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0031622776601683794
6,11,0.8619999999999999,0.02573367875415838,0.05600000000000001,0.015776212754932312,0.004,0.00699205898780101,0.04,0.013333333333333332,0.002,0.0042163702135578395,0.003,0.00483045891539648,0.005,0.007071067811865475,0.004,0.0051639777949432225,0.003,0.006749485577105529,4.5,3.0276503540974917,0.0,0.0,0.009,0.008755950357709132,0.004,0.00699205898780101,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0042163702135578395,0.0,0.0,0.0,0.0,0.001,0.00316227766016838
7,12,0.873,0.03164033993355812,0.047,0.012516655570345729,0.004,0.0051639777949432225,0.014000000000000002,0.008432740427115677,0.012,0.0042163702135578395,0.006,0.006992058987801011,0.005,0.007071067811865474,0.004,0.0051639777949432225,0.0,0.0,4.5,3.0276503540974917,0.0,0.0,0.016,0.006992058987801009,0.01,0.004714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.004830458915396479,0.0,0.0,0.0,0.0,0.002,0.0042163702135578395
8,13,0.916,0.02716206504995116,0.032,0.016865480854231358,0.003,0.004830458915396479,0.013000000000000001,0.010593499054713804,0.007000000000000001,0.0067494855771055295,0.0,0.0,0.001,0.00316227766016838,0.003,0.00483045891539648,0.0,0.0,4.5,3.0276503540974917,0.0,0.0,0.015,0.007071067811865475,0.008,0.009189365834726815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.00316227766016838
9,14,0.925,0.015811388300841892,0.025,0.013540064007726602,0.004,0.0051639777949432225,0.005,0.005270462766947299,0.01,0.010540925533894598,0.003,0.00483045891539648,0.0,0.0,0.007000000000000001,0.00483045891539648,0.0,0.0,4.5,3.0276503540974917,0.0,0.0,0.016999999999999998,0.009486832980505138,0.001,0.0031622776601683794,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0042163702135578395,0.0,0.0,0.0,0.0,0.001,0.00316227766016838
10,15,0.9390000000000001,0.02078995483935018,0.027000000000000003,0.01567021236472421,0.001,0.0031622776601683794,0.007000000000000001,0.008232726023485647,0.004,0.006992058987801012,0.004,0.0051639777949432225,0.001,0.0031622776601683794,0.004,0.0051639777949432225,0.0,0.0,4.5,3.0276503540974917,0.0,0.0,0.009,0.011005049346146118,0.002,0.0042163702135578395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0042163702135578395
11,16,0.951,0.018529256146249704,0.017,0.008232726023485645,0.002,0.0042163702135578395,0.009,0.008755950357709132,0.0,0.0,0.0,0.0,0.001,0.00316227766016838,0.001,0.00316227766016838,0.0,0.0,4.5,3.0276503540974917,0.0,0.0,0.013000000000000001,0.00674948557710553,0.002,0.0042163702135578395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0051639777949432225
12,17,0.9570000000000001,0.01251665557034573,0.013000000000000001,0.009486832980505138,0.0,0.0,0.0,0.0,0.001,0.00316227766016838,0.001,0.00316227766016838,0.0,0.0,0.006,0.0051639777949432225,0.0,0.0,4.5,3.0276503540974917,0.0,0.0,0.022,0.007888106377466154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,18,0.9789999999999999,0.011972189997378658,0.008,0.00632455532033676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0052704627669473,0.0,0.0,4.5,3.0276503540974917,0.0,0.0,0.008,0.009189365834726815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.0276503540974917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.0276503540974917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
